wiki_id,name,adduct,confidence,entropy_sim,sim_gap,signed_delta_rt,spectral_entropy,reason
aEKJ9AS/8605,"hexahydro-oxazolo[3,4-a]pyrazin-3-one",[M+H]+,0.103,0.745,0.071,-34.3,1.8,RT off (-34s)
aPUDE1U/1623,PG 16:0_18:1,[M-H]-,0.103,0.872,0.013,44.5,1.4,RT off (+44s); near-tie (gap=0.013)
aEKJ9AS/8707,3-nonenedioic acid,[M+H]+,0.104,0.742,0.038,36.0,2.51,RT off (+36s)
aEKJ9AS/12280,dipyridamole,[M+H]+,0.105,0.821,0.013,40.4,4.45,RT off (+40s); near-tie (gap=0.013)
aPUDE1U/1391,oxoadipic acid,[M-H]-,0.105,0.565,0.008,-19.4,2.03,RT off (-19s); near-tie (gap=0.008); weak spectral match (0.57)
aEKJ9AS/994,3-dehydroxycarnitine,[M+H]+,0.106,0.854,0.029,-37.2,1.07,RT off (-37s); near-tie (gap=0.029)
aEKJ9AS/9880,pantolactone,[M+H]+,0.106,0.562,0.058,19.8,2.19,RT off (+20s); weak spectral match (0.56)
aPUDE1U/373,nonenedioic acid,[M-H]-,0.107,0.67,0.077,31.5,2.05,RT off (+32s)
aPUDE1U/882,Asn-Pro,[M-H]-,0.108,0.924,0.302,-60.5,1.64,RT off (-60s)
aPUDE1U/2894,PG 16:0_18:2,[M-H]-,0.109,0.863,0.064,45.0,1.55,RT off (+45s)
aEKJ9AS/11445,glycolithocholic acid,[M+H-H2O]+,0.113,0.596,0.022,-24.4,4.83,RT off (-24s); near-tie (gap=0.022); weak spectral match (0.60)
aPUDE1U/848,apigenin-7-O-glucoside,[M-H]-,0.115,0.89,0.06,47.2,2.15,RT off (+47s)
aPUDE1U/2241,hypotaurine,[M-H]-,0.115,1.0,0.004,-38.6,0.29,RT off (-39s); near-tie (gap=0.004); very few peaks (entropy=0.29)
aPUDE1U/1073,3-hydroxyvalproic acid,[M-H]-,0.116,0.702,0.003,33.5,0.64,RT off (+34s); near-tie (gap=0.003)
aPUDE1U/2695,4-acetamidobutanoic acid,[M-H]-,0.117,0.807,0.313,52.6,2.19,RT off (+53s)
aPUDE1U/1005,isonicotinylglycine,[M-H]-,0.118,0.87,0.074,-38.3,1.46,RT off (-38s)
aEKJ9AS/3048,5-aminovaleric acid,[M+H]+,0.118,0.818,0.057,-35.3,2.21,RT off (-35s)
aEKJ9AS/1097,dimethyl sulfoxide,[M+H]+,0.119,1.0,0.06,50.5,0.83,RT off (+50s)
aEKJ9AS/11694,5-[(aminocarbonyl)amino]pentanoic acid,[M+H]+,0.12,0.772,0.248,47.3,0.85,RT off (+47s)
aEKJ9AS/6743,kynuramine,[M+H-NH3]+,0.123,0.912,0.026,45.3,2.47,RT off (+45s); near-tie (gap=0.026)
aEKJ9AS/5982,octopine,[M+H]+,0.125,0.608,0.026,22.0,2.74,RT off (+22s); near-tie (gap=0.026)
aEKJ9AS/5413,bile acid CID 4638524  b,[M+H-2H2O]+,0.126,0.743,0.039,-29.7,4.54,RT off (-30s)
aEKJ9AS/2388,glucose 6-phosphate,Unknown,0.126,0.822,0.0,-32.7,2.5,RT off (-33s); near-tie (gap=0.000)
aEKJ9AS/3147,4-picoline,[M+H]+,0.127,0.738,0.093,-30.2,1.93,RT off (-30s)
aPUDE1U/3531,3-deoxytetronic acid,M-H,0.13,0.687,0.088,-27.3,1.1,RT off (-27s)
aPUDE1U/891,N-acetyl-glucosamine,[M+CHO2]-,0.132,0.853,0.06,-32.7,1.85,RT off (-33s)
aEKJ9AS/3009,5-hydroxy-2-(hydroxymethyl)pyridine,[M+H]+,0.133,0.794,0.077,32.3,1.47,RT off (+32s)
aEKJ9AS/823,"acylcarnitine, 3-methylglutaryl-",[M+H]+,0.137,0.648,0.046,25.9,1.9,RT off (+26s)
aPUDE1U/1764,3-hydroxyoctanoic acid,[M-H]-,0.137,0.661,0.062,26.8,1.82,RT off (+27s)
aPUDE1U/1448,fructose-6-phosphate,[M-H]-,0.139,0.637,0.0,24.6,1.03,RT off (+25s); near-tie (gap=0.000)
aPUDE1U/1379,"benzene-1,2,4-triol",[M-H]-,0.139,0.961,0.079,-35.7,1.98,RT off (-36s)
aEKJ9AS/12514,"N,N-diethylglycine_to check",[M+H]+,0.139,0.76,0.141,-31.4,0.75,RT off (-31s)
aPUDE1U/88,diethyl phosphate,[M-H]-,0.145,1.0,0.26,-41.2,0.64,RT off (-41s)
aPUDE1U/2340,PG 16:0_18:2 b,[M-H]-,0.146,0.849,0.062,35.0,1.61,RT off (+35s)
aPUDE1U/1478,N-acetyltryptophan,[2M-H]-,0.146,0.634,0.0,23.7,0.91,RT off (+24s); near-tie (gap=0.000)
aPUDE1U/1462,N-acetylvaline,[M-H]-,0.147,0.898,0.069,39.3,0.54,RT off (+39s)
aEKJ9AS/8630,salsolinol,[M+H]+,0.148,0.886,0.147,-32.9,2.25,RT off (-33s)
aPUDE1U/2208,HEPES buffer,[M-H]-,0.15,0.745,0.425,-45.0,1.62,RT off (-45s)
aPUDE1U/147,purine,[M-H]-,0.15,0.869,0.07,35.5,1.82,RT off (+36s)
aPUDE1U/3275,4-hydroxyvalproic acid,[M-H]-,0.151,0.773,0.062,28.6,1.74,RT off (+29s)
aEKJ9AS/3873,bile acid CID 3533380 b,[M+NH4]+,0.152,0.734,0.039,-25.4,3.89,RT off (-25s)
aPUDE1U/1164,3-methoxycatechol,[M-H]-,0.153,0.767,0.005,28.8,0.5,RT off (+29s); near-tie (gap=0.005)
aPUDE1U/2529,N-acetylmethionine,2M-H,0.154,0.636,0.223,29.0,2.49,RT off (+29s)
aPUDE1U/304,CoA 02:0,[M-H]-,0.154,0.891,0.072,-31.5,1.64,RT off (-32s)
aPUDE1U/537,creatinine,[M-H]-,0.154,0.454,0.216,5.8,0.4,weak spectral match (0.45); very few peaks (entropy=0.40)
aEKJ9AS/5590,LPC 16:0 b,[M+H-C19H36O3]+,0.156,0.953,0.003,39.4,1.79,RT off (+39s); near-tie (gap=0.003)
